rank,bgg_url,names,min_players,max_players,avg_time,min_time,max_time,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
1,174430/gloomhaven,Gloomhaven,1,4,150,90,150,9.0131,8.52234,9841,https://cf.geekdo-images.com/images/pic2437871.jpg,12,"Action / Movement Programming, Co-operative Play, Grid Movement, Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers",18217,"Adventure, Exploration, Fantasy, Fighting, Miniatures",3.772
2,161936/pandemic-legacy-season-1,Pandemic Legacy: Season 1,2,4,60,60,60,8.66575,8.49837,23489,https://cf.geekdo-images.com/images/pic2452831.png,13,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",38105,"Environmental, Medical",2.8056
3,182028/through-ages-new-story-civilization,Through the Ages: A New Story of Civilization,2,4,240,180,240,8.65702,8.32401,10679,https://cf.geekdo-images.com/images/pic2663291.jpg,14,"Action Point Allowance System, Auction/Bidding, Card Drafting",14147,"Card Game, Civilization, Economic",4.3538
4,12333/twilight-struggle,Twilight Struggle,2,2,180,120,180,8.35188,8.21012,29923,https://cf.geekdo-images.com/images/pic361592.jpg,13,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection",41094,"Modern Warfare, Political, Wargame",3.5446
5,167791/terraforming-mars,Terraforming Mars,1,5,120,120,120,8.38331,8.17328,20468,https://cf.geekdo-images.com/images/pic3536616.jpg,12,"Card Drafting, Hand Management, Tile Placement, Variable Player Powers",26145,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",3.2465
6,187645/star-wars-rebellion,Star Wars: Rebellion,2,4,240,180,240,8.50113,8.16882,11779,https://cf.geekdo-images.com/images/pic2737530.png,14,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Variable Player Powers",18673,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",3.6067
7,120677/terra-mystica,Terra Mystica,2,5,150,60,150,8.26516,8.12059,27621,https://cf.geekdo-images.com/images/pic1356616.jpg,12,"Area Control / Area Influence, Route/Network Building, Variable Phase Order, Variable Player Powers",31318,"Civilization, Economic, Fantasy, Territory Building",3.9429
8,169786/scythe,Scythe,1,5,115,90,115,8.29686,8.0932,24598,https://cf.geekdo-images.com/images/pic3163924.jpg,14,"Area Control / Area Influence, Grid Movement, Simultaneous Action Selection, Variable Player Powers",32621,"Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building",3.3539
9,173346/7-wonders-duel,7 Wonders Duel,2,2,30,30,30,8.15458,8.0096,28278,https://cf.geekdo-images.com/images/pic3376065.jpg,10,"Card Drafting, Set Collection",44173,"Ancient, Card Game, City Building, Civilization",2.2394
10,193738/great-western-trail,Great Western Trail,2,4,150,75,150,8.28225,8.00248,10924,https://cf.geekdo-images.com/images/pic3113247.jpg,12,"Deck / Pool Building, Hand Management, Point to Point Movement, Tile Placement",13899,American West,3.7094
