names,score,boolean
gloomhaven,0.484396,TRUE
pandemic legacy: season 1,0.425042,TRUE
through the ages: a new story of civilization,0.278996,FALSE
twilight struggle,0.351362,TRUE
terraforming mars,0.448738,TRUE
star wars: rebellion,0.325078,TRUE
terra mystica,0.538118,TRUE
scythe,0.472288,TRUE
7 wonders duel,0.451626,TRUE
great western trail,0.439072,TRUE
the castles of burgundy,0.433414,TRUE
war of the ring (second edition),0.16802,FALSE
caverna: the cave farmers,0.375062,TRUE
puerto rico,0.326822,TRUE
agricola,0.373466,TRUE
mage knight board game,0.44318,TRUE
blood rage,0.339904,TRUE
arkham horror: the card game,0.23069,FALSE
mansions of madness: second edition,0.39093,TRUE
through the ages: a story of civilization,0.207142,FALSE
mechs vs. minions,0.437154,TRUE
viticulture essential edition,0.479778,TRUE
star wars: imperial assault,0.254012,FALSE
concordia,0.449342,TRUE
orléans,0.51653,TRUE
power grid,0.33428,TRUE
eclipse,0.349168,TRUE
food chain magnate,0.428432,TRUE
a feast for odin,0.397452,TRUE
robinson crusoe: adventures on the cursed island,0.291072,TRUE
brass: lancashire,0.274364,FALSE
tzolk'in: the mayan calendar,0.500222,TRUE
le havre,0.413866,TRUE
android: netrunner,0.37027,TRUE
kingdom death: monster,0.24277,FALSE
the voyages of marco polo,0.389746,TRUE
the 7th continent,0.348144,TRUE
codenames,0.380794,TRUE
keyflower,0.363218,TRUE
7 wonders,0.52701,TRUE
t.i.m.e stories,0.250794,FALSE
caylus,0.361232,TRUE
eldritch horror,0.194404,FALSE
twilight imperium (third edition),0.395618,TRUE
race for the galaxy,0.269938,FALSE
lords of waterdeep,0.325948,TRUE
dominant species,0.36667,TRUE
five tribes,0.430028,TRUE
el grande,0.43907,TRUE
patchwork,0.406688,TRUE
roll for the galaxy,0.42396,TRUE
fields of arle,0.26641,FALSE
dominion: intrigue,0.280968,FALSE
clank!: a deck-building adventure,0.39614,TRUE
dead of winter: a crossroads game,0.289528,TRUE
star wars: x-wing miniatures game,0.23324,FALSE
battlestar galactica: the board game,0.293212,TRUE
pandemic legacy: season 2,0.374932,TRUE
sherlock holmes consulting detective: the thames murders and other cases,0.148806,FALSE
mombasa,0.312816,TRUE
russian railroads,0.295964,TRUE
trajan,0.36693,TRUE
troyes,0.443906,TRUE
dominion,0.441862,TRUE
tigris and euphrates,0.409812,TRUE
pandemic,0.376558,TRUE
gaia project,0.458644,TRUE
santorini,0.404874,TRUE
the gallerist,0.322884,TRUE
crokinole,0.457006,TRUE
descent: journeys in the dark (second edition),0.262566,FALSE
kemet,0.278976,FALSE
castles of mad king ludwig,0.357324,TRUE
war of the ring (first edition),0.165906,FALSE
stone age,0.382628,TRUE
alchemists,0.366232,TRUE
clans of caledonia,0.442892,TRUE
the resistance: avalon,0.257612,FALSE
a game of thrones: the board game (second edition),0.426386,TRUE
forbidden stars,0.312664,TRUE
arcadia quest,0.216686,FALSE
legendary encounters: an alien deck building game,0.338688,TRUE
star realms,0.325174,TRUE
ora et labora,0.472448,TRUE
suburbia,0.309014,TRUE
nations,0.313724,TRUE
ticket to ride: europe,0.333282,TRUE
chaos in the old world,0.287602,TRUE
commands and colors: ancients,0.371232,TRUE
istanbul,0.517204,TRUE
railways of the world,0.24893,FALSE
paths of glory,0.336396,TRUE
anachrony,0.280848,FALSE
captain sonar,0.443332,TRUE
pandemic iberia,0.435148,TRUE
cosmic encounter,0.186592,FALSE
combat commander: europe,0.267786,FALSE
goa,0.316784,TRUE
the lord of the rings: the card game,0.391874,TRUE
jaipur,0.524658,TRUE
la granja,0.374922,TRUE
hansa teutonica,0.326092,TRUE
steam,0.245672,FALSE
zombicide: black plague,0.394256,TRUE
age of steam,0.248828,FALSE
azul,0.43061,TRUE
village,0.30816,TRUE
splendor,0.452364,TRUE
the princes of florence,0.229412,FALSE
ticket to ride: nordic countries,0.301082,TRUE
viticulture,0.32066,TRUE
tichu,0.177886,FALSE
go,0.341272,TRUE
yokohama,0.380684,TRUE
memoir '44,0.271416,FALSE
grand austria hotel,0.32188,TRUE
legendary: a marvel deck building game,0.403898,TRUE
twilight imperium: fourth edition,0.465434,TRUE
ticket to ride,0.238914,FALSE
champions of midgard,0.314916,TRUE
imperial settlers,0.337584,TRUE
shogun,0.242478,FALSE
galaxy trucker,0.300592,TRUE
battlelore (second edition),0.306722,TRUE
mage wars arena,0.116404,FALSE
hannibal: rome vs. carthage,0.269868,FALSE
inis,0.293708,TRUE
cyclades,0.357098,TRUE
yinsh,0.296954,TRUE
lewis and clark,0.428496,TRUE
age of empires iii: the age of discovery,0.382442,TRUE
dungeon petz,0.320884,TRUE
ra,0.354186,TRUE
summoner wars: master set,0.31023,TRUE
imperial,0.395378,TRUE
runewars,0.253752,FALSE
carcassonne,0.272742,FALSE
space alert,0.229668,FALSE
dead of winter: the long night,0.100372,FALSE
sekigahara: the unification of japan,0.190136,FALSE
mysterium,0.307452,TRUE
glory to rome,0.441118,TRUE
bora bora,0.287658,TRUE
targi,0.362248,TRUE
above and below,0.40647,TRUE
sushi go party!,0.500326,TRUE
alien frontiers,0.36806,TRUE
isle of skye: from chieftain to king,0.238346,FALSE
1960: the making of the president,0.252154,FALSE
seasons,0.523736,TRUE
power grid deluxe: europe/north america,0.426958,TRUE
magic: the gathering,0.358914,TRUE
xia: legends of a drift system,0.365164,TRUE
fury of dracula (third edition),0.0143,FALSE
dixit odyssey,0.338656,TRUE
navegador,0.41518,TRUE
here i stand,0.236576,FALSE
1830: railways and robber barons,0.379912,TRUE
imperial 2030,0.25021,FALSE
the resistance,0.3207,TRUE
sid meier's civilization: the board game,0.215696,FALSE
samurai,0.170084,FALSE
agricola: all creatures big and small,0.328582,TRUE
battle line,0.304186,TRUE
deception: murder in hong kong,0.250066,FALSE
star wars: armada,0.228324,FALSE
dungeon lords,0.322986,TRUE
die macher,0.4003,TRUE
small world,0.36464,TRUE
letters from whitechapel,0.421984,TRUE
near and far,0.248386,FALSE
trickerion: legends of illusion,0.36851,TRUE
claustrophobia,0.274978,FALSE
mission: red planet (second edition),0.344488,TRUE
codenames duet,0.432626,TRUE
star realms: colony wars,0.290368,TRUE
blood bowl: living rulebook,0.38259,TRUE
dixit,0.414672,TRUE
onitama,0.440906,TRUE
codenames: pictures,0.347102,TRUE
ghost stories,0.222866,FALSE
battlecon: devastation of indines,0.45898,TRUE
advanced squad leader,0.272904,FALSE
lisboa,0.382744,TRUE
bruges,0.343644,TRUE
spirit island,0.47025,TRUE
merchants and marauders,0.338566,TRUE
indonesia,0.36172,TRUE
mice and mystics,0.248298,FALSE
endeavor,0.30152,TRUE
kingdomino,0.42425,TRUE
rococo,0.361028,TRUE
clash of cultures,0.36962,TRUE
agricola (revised edition),0.325438,TRUE
the manhattan project,0.341208,TRUE
takenoko,0.515306,TRUE
hive,0.338858,TRUE
love letter,0.397238,TRUE
acquire,0.338044,TRUE
glass road,0.295924,TRUE
dune,0.342966,TRUE
neuroshima hex!,0.381302,TRUE
raiders of the north sea,0.40944,TRUE
charterstone,0.528014,TRUE
secret hitler,0.31646,TRUE
notre dame,0.398244,TRUE
burgle bros.,0.376882,TRUE
lorenzo il magnifico,0.416798,TRUE
in the year of the dragon,0.381392,TRUE
the manhattan project: energy empire,0.388502,TRUE
hero realms,0.346612,TRUE
tikal,0.349356,TRUE
space hulk (third edition),0.205576,FALSE
kanban: automotive revolution,0.056508,FALSE
civilization,0.337794,TRUE
king of tokyo,0.403536,TRUE
cthulhu wars,0.25129,FALSE
telestrations,0.426192,TRUE
risk legacy,0.306552,TRUE
san juan,0.453996,TRUE
saint petersburg,0.316288,TRUE
modern art,0.40275,TRUE
survive: escape from atlantis!,0.287382,TRUE
aeon's end,0.202748,FALSE
ticket to ride: märklin,0.48078,TRUE
the pillars of the earth,0.265462,FALSE
vinhos deluxe edition,0.455716,TRUE
sagrada,0.498742,TRUE
arkham horror,0.274044,FALSE
antiquity,0.330592,TRUE
sheriff of nottingham,0.36093,TRUE
tiny epic galaxies,0.341774,TRUE
a few acres of snow,0.371928,TRUE
at the gates of loyang,0.387588,TRUE
blood bowl: team manager ? the card game,0.30034,TRUE
century: spice road,0.459876,TRUE
macao,0.401192,TRUE
quadropolis,0.32882,TRUE
1775: rebellion,0.442106,TRUE
blood bowl (third edition),0.285186,FALSE
lancaster,0.3063,TRUE
fresco,0.345064,TRUE
maria,0.36558,TRUE
battlelore,0.174386,FALSE
nippon,0.417936,TRUE
star wars: x-wing miniatures game ? the force awakens core set,0.209008,FALSE
bruxelles 1893,0.388056,TRUE
mansions of madness,0.147636,FALSE
lord of the rings: the confrontation,0.393848,TRUE
one night ultimate werewolf,0.351996,TRUE
flash point: fire rescue,0.207404,FALSE
glen more,0.308438,TRUE
pandemic: the cure,0.280398,FALSE
exit: the game ? the abandoned cabin,0.398402,TRUE
evolution: climate,0.342264,TRUE
amun-re,0.384162,TRUE
london,0.426164,TRUE
earth reborn,0.376692,TRUE
forbidden desert,0.272048,FALSE
sentinels of the multiverse,0.202174,FALSE
for sale,0.435232,TRUE
51st state: master set,0.236842,FALSE
roads and boats,0.355668,TRUE
descent: journeys in the dark,0.2829,FALSE
kingsburg,0.385654,TRUE
heroscape master set: rise of the valkyrie,0.360368,TRUE
amerigo,0.431056,TRUE
shadows of brimstone: city of the ancients,0.35162,TRUE
hanabi,0.33459,TRUE
egizia,0.375476,TRUE
small world underground,0.28147,FALSE
catan,0.448748,TRUE
pathfinder adventure card game: rise of the runelords ? base set,0.345428,TRUE
archipelago,0.406168,TRUE
spartacus: a game of blood and treachery,0.310776,TRUE
firefly: the game,0.447478,TRUE
innovation,0.330592,TRUE
time's up! title recall!,0.396444,TRUE
millennium blades,0.33142,TRUE
star wars: destiny,0.298534,TRUE
ethnos,0.451176,TRUE
the grizzled,0.212746,FALSE
san juan (second edition),0.353258,TRUE
biblios,0.439484,TRUE
"labyrinth: the war on terror, 2001 ? ?",0.140282,FALSE
vinhos,0.423114,TRUE
legends of andor,0.290608,TRUE
tyrants of the underdark,0.39758,TRUE
commands and colors: napoleonics,0.245892,FALSE
airlines europe,0.329636,TRUE
hammer of the scots,0.36718,TRUE
stockpile,0.399174,TRUE
libertalia,0.391066,TRUE
colt express,0.356552,TRUE
a game of thrones: the card game (second edition),0.179364,FALSE
lost cities,0.379284,TRUE
thunderstone advance: towers of ruin,0.21113,FALSE
deus,0.439502,TRUE
paperback,0.164004,FALSE
taj mahal,0.328502,TRUE
friday,0.318986,TRUE
this war of mine: the board game,0.250536,FALSE
madeira,0.299388,TRUE
freedom: the underground railroad,0.308754,TRUE
vikings,0.402448,TRUE
a game of thrones (first edition),0.246802,FALSE
euphoria: build a better dystopia,0.25462,FALSE
tales of the arabian nights,0.402568,TRUE
elysium,0.302862,TRUE
pandemic: reign of cthulhu,0.382066,TRUE
ginkgopolis,0.44652,TRUE
zombicide,0.203682,FALSE
citadels,0.256812,FALSE
automobile,0.224936,FALSE
shadows over camelot,0.275658,FALSE
pitchcar,0.340874,TRUE
struggle of empires,0.3495,TRUE
last will,0.4359,TRUE
abyss,0.436538,TRUE
carson city,0.423842,TRUE
evolution,0.364646,TRUE
ingenious,0.231628,FALSE
wallenstein (first edition),0.282666,FALSE
francis drake,0.278284,FALSE
nexus ops,0.385684,TRUE
harry potter: hogwarts battle,0.352264,TRUE
roborally,0.15579,FALSE
the colonists,0.44308,TRUE
the republic of rome,0.216552,FALSE
sushi go!,0.379508,TRUE
starcraft: the board game,0.105204,FALSE
gears of war: the board game,0.317762,TRUE
tzaar,0.319394,TRUE
cry havoc,0.226866,FALSE
dvonn,0.336104,TRUE
aquasphere,0.25062,FALSE
too many bones,0.331098,TRUE
thurn and taxis,0.420936,TRUE
smash up: awesome level 9000,0.089548,FALSE
conan,0.295908,TRUE
snowdonia,0.377292,TRUE
warhammer quest: the adventure card game,0.42768,TRUE
lords of vegas,0.267516,FALSE
imhotep,0.37723,TRUE
colosseum,0.38008,TRUE
raptor,0.351638,TRUE
dixit: journey,0.37806,TRUE
belfort,0.333732,TRUE
arboretum,0.285034,FALSE
